time,pv_system_1_P_ac_W,pv_system_1_E_kWh,pv_system_2_P_ac_W,pv_system_2_E_kWh,P_total_ac_W,E_total_kWh
2026-09-25 00:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-25 01:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-25 02:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-25 03:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-25 04:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-25 05:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-25 06:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-25 07:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-25 08:00:00+02:00,96.13005403231767,0.09613005403231767,81.35026684402287,0.08135026684402287,177.48032087634056,0.17748032087634052
2026-09-25 09:00:00+02:00,2852.3164275546437,2.8523164275546438,812.3944513408056,0.8123944513408057,3664.7108788954492,3.664710878895449
2026-09-25 10:00:00+02:00,5349.340559110814,5.349340559110814,2594.386866435243,2.594386866435243,7943.727425546057,7.943727425546058
2026-09-25 11:00:00+02:00,7008.898462916176,7.008898462916176,4531.987596344952,4.531987596344952,11540.886059261127,11.540886059261128
2026-09-25 12:00:00+02:00,7899.592126664171,7.899592126664171,6268.36185773748,6.26836185773748,14167.95398440165,14.16795398440165
2026-09-25 13:00:00+02:00,7818.392864204038,7.818392864204038,7353.247801182744,7.353247801182745,15171.640665386782,15.171640665386782
2026-09-25 14:00:00+02:00,7243.999559104444,7.243999559104444,7951.083657276561,7.951083657276561,15195.083216381005,15.195083216381004
2026-09-25 15:00:00+02:00,6291.902615021179,6.291902615021179,8229.255348901434,8.229255348901434,14521.157963922613,14.521157963922613
2026-09-25 16:00:00+02:00,4679.097876685043,4.679097876685043,7661.302281158406,7.661302281158406,12340.400157843449,12.34040015784345
2026-09-25 17:00:00+02:00,2784.6086484374937,2.784608648437494,6377.782625612141,6.377782625612141,9162.391274049634,9.162391274049634
